Rainfall,RH,Temp,Yield
159.8,82.34,26.77,20117
1064.2,82.34,26.52,20381
1120.7,82.34,26.45,20611
861.3,82.34,26.77,21260
423.8,82.34,26.56,3602
1011,82.34,26.79,27000
1408.3,82.34,26.79,17511
687.5,79.52,26.7,3283
910.9,80.5,26.7,16345
803.6,84,26.2,38123
1136.2,85.35,28.2,25237
953.5,83.13,26.86,24457
1181,83.13,26.32,49171
842.7,83.13,26.95,58888
1397.2,83.13,26.37,62512
698,83.13,26.64,17515
1236.4,83.13,26.05,76363
936.9,83.13,26.67,71889
607.3,80.35,25.7,22083
509,82.9,26.6,35071
840.3,83.8,26.3,96567
944.1,85.5,28.7,77646
159.8,68.81,29.93,789
201.8,70.18,29.92,3685
200,70.92,29.55,16781
132.4,67.07,29.83,2692
212.5,72.69,29.24,23930
413.1,67.58,29.85,5455
472.8,72.25,29.49,24978
547.5,75.1,29.5,4405
355.7,70.6,30.1,1940
373,74.6,29.2,1557
152.7,64.9,30.9,11730
811.5,82.64,27.36,41755
860.3,82.64,26.7,49990
820.4,82.64,27.06,61459
886.6,82.64,27.01,77975
465.5,82.64,27.04,25027
660,82.64,26.99,88661
906.3,82.64,27.55,89079
230.8,81.23,27,56149
446.5,82.06,27.42,78071
674.1,83.81,26.6,94045
950.5,83.46,27.67,92137
11.7,74.37,29.46,6000
95.3,72.86,30.06,2240
27.7,74.84,29.1,6601
40,72.73,29.61,6171
61.9,74.03,29.24,12225
193.2,72.37,29.14,4530
154.5,75.52,29.28,13236
1.7,81.61,28.95,7949
76.2,82.76,29.6,274
283,83.35,28.35,2185
0.6,77.85,30.02,4815
1526.4,83.58,27.05,193274
2600.5,83.58,26.53,30539
1329.3,83.58,26.96,171715
2031.1,83.58,26.96,115630
768.3,83.58,26.69,166010
1833,83.58,26.77,120570
1805,83.58,27.2,150434
844.5,80.46,27.12,81878
803.3,83.97,26.95,177289
1237.5,85.035,26.925,190167
1657.2,84.885,27.7,180537
283.3,75.91,28.99,59227
75.3,72.26,29.65,73906
110.4,74.25,29.51,77196
69.8,70.33,29.655,83599
142.6,73.52,29.9,11943
175.4,73.92,30.14,74062
188.6,73.33,29.845,114470
299.8,73.935,30.27,85305
123.2,73.865,29.55,67263
195.6,76.635,29.77,92926
74.5,75.05,30.3,79649
1212.6,83.1,27.21,106727
1801.5,83.1,27.6,51451
1228.5,83.1,26.5,125644
1568,83.1,27.06,98955
566,83.1,27.06,97630
1158.3,83.1,27.16,117256
1354,83.1,27.31,145279
524.1,80.3,27.3,74365
943.2,82.84,27.07,144171
1241.7,84.9,26.62,151555
1236.7,84.38,28.92,130470
94.8,70.88,30.59,62850
180.7,67.88,30.64,58879
115.8,71.35,30.55,79890
20.8,63.12,31.24,65988
291.3,68.32,29.75,101718
206.9,67.34,31.03,30225
185.1,68.94,30.64,97884
471.4,72.13,30.22,95320
319.9,72.06,30.65,40002
413.9,73.39,29.9,94434
141.9,68.58,31.12,83700
